"","Player","Team","MarketValue","Age","Matches","Contract","Goals","Assists","Minutes","Height","AtClub","BothFeet","OwnGoals","Yellow","YellowRed","Red","SubOn","SubOff","Position"
"216","Cihat Celik","NEC Nijmegen",1e+05,18,1,0,0,0,45,182,1,0,0,0,0,0,0,1,"Forward"
"217","Joris Mathijsen","Feyenoord Rotterdam",2500000,34,20,1,1,1,1634,183,2,0,0,3,0,0,1,5,"Defender"
"218","Sander Duits","RKC Waalwijk",6e+05,30,30,2,6,1,2623,183,4,0,0,8,1,0,0,4,"Midfielder"
"219","Henrico Drost","NAC Breda",6e+05,27,33,1,0,1,2938,183,1,0,1,1,0,0,0,2,"Defender"
"220","Otman Bakkal","Feyenoord Rotterdam",750000,29,8,0,0,1,107,183,1,0,0,0,0,0,8,0,"Midfielder"
"221","Andraz Kirm","FC Groningen",1600000,29,25,0,2,1,1242,183,2,1,0,3,0,0,10,8,"Forward"
"222","Milano Koenders","Heracles Almelo",5e+05,27,15,1,0,0,1184,183,2,0,0,5,0,1,1,2,"Defender"
"223","Christian Kum","sc Heerenveen",6e+05,28,21,0,0,0,1769,183,2,0,0,0,0,1,1,1,"Defender"
"224","Christian Supusepa","ADO Den Haag",3e+05,25,10,0,0,0,301,183,4,0,0,2,0,0,8,1,"Defender"
"225","Anco Jansen","Roda JC Kerkrade",5e+05,25,2,3,0,0,111,183,0.5,0,0,0,0,0,0,1,"Forward"
"226","Joeri De Kamps","sc Heerenveen",3e+05,22,12,0,0,0,433,183,1,0,0,2,0,0,8,2,"Midfielder"
"227","Stefano Marzo","sc Heerenveen",4e+05,23,14,0,0,1,1058,183,1,0,0,2,0,0,3,2,"Defender"
"228","Mart Dijkstra","SC Cambuur-Leeuwarden",250000,23,14,1,1,0,577,183,3,0,0,2,0,0,9,3,"Defender"
"229","Mateusz Klich","PEC Zwolle",2e+06,23,30,1,4,9,2464,183,1,0,0,3,0,0,2,7,"Midfielder"
"230","Bart Biemans","Roda JC Kerkrade",5e+05,26,24,0,0,0,2084,183,2,0,0,6,1,0,0,2,"Defender"
"231","Bob Schepers","SC Cambuur-Leeuwarden",4e+05,22,17,0,1,0,533,183,0.5,0,0,0,0,0,13,3,"Forward"
"232","Ricardo van Rhijn","AFC Ajax",4500000,22,32,1,2,3,2787,183,2.5,0,0,5,0,1,1,1,"Defender"
"233","Kevin Jansen","ADO Den Haag",8e+05,22,3,1,0,0,206,183,2,1,0,0,0,0,0,1,"Midfielder"
"234","Terence Kongolo","Feyenoord Rotterdam",5e+05,20,17,1,0,1,1349,183,2,0,0,2,0,0,2,1,"Defender"
"235","Valeri Qazaishvili","Vitesse",8e+05,21,26,1,4,2,1187,183,3,0,0,1,0,0,15,8,"Midfielder"
"236","Ricardo Kishna","AFC Ajax",2e+05,19,8,2,1,2,387,183,0.5,0,0,0,0,0,3,5,"Forward"
"237","Uche Nwofor","sc Heerenveen",9e+05,22,3,0,0,0,73,183,1,0,0,0,0,0,3,0,"Forward"
"238","Mitchel Paulissen","Roda JC Kerkrade",2e+05,21,15,1,1,0,780,183,1,0,0,3,0,0,6,9,"Midfielder"
"239","Romano van der Stoep","FC Utrecht",2e+05,19,2,0,0,0,26,183,1,0,0,0,0,0,2,0,"Forward"
"240","Joost Broerse","PEC Zwolle",4e+05,34,27,1,2,1,2047,184,2,0,1,6,0,0,3,7,"Defender"
"241","Ramon Zomer","sc Heerenveen",750000,31,7,0,0,0,316,184,3,0,0,2,0,0,4,1,"Defender"
"242","Kenny van Hoevelen","RKC Waalwijk",5e+05,30,26,0,1,1,2242,184,1,0,0,3,1,0,0,4,"Defender"
"243","Simon Poulsen","AZ Alkmaar",1e+06,29,10,1,0,0,674,184,0.5,0,0,1,0,0,3,1,"Defender"
"244","Sören Rieks","NEC Nijmegen",1250000,27,28,1,7,5,2380,184,2,1,0,4,0,0,0,8,"Midfielder"
"245","Mitchell Donald","Roda JC Kerkrade",1300000,25,30,0,6,4,2543,184,3,0,0,3,0,0,0,9,"Midfielder"
"246","Guyon Fernandez","PEC Zwolle",6e+05,28,24,0,10,0,1381,184,1,0,0,1,0,0,9,10,"Forward"
"247","Mohamed El Makrini","SC Cambuur-Leeuwarden",450000,26,32,1,1,2,2783,184,3,0,0,7,0,0,1,3,"Midfielder"
"248","Guy Ramos","Roda JC Kerkrade",350000,28,11,1,0,0,793,184,1,0,0,0,2,0,2,1,"Defender"
"249","Oliver Feldballe","SC Cambuur-Leeuwarden",3e+05,24,16,1,0,1,509,184,1,0,0,0,0,0,9,7,"Forward"
