FIPS,DemRep,state_abbr,Clinton,Trump,population2014,population2010,population_change,ageunder5,ageunder18,age65plus,femaleperc,white,black,native,asian,hawaiian,morerace,hispanic,whitealone,home1year,foreignborn,nonenglish,eduhighschool,edubachelor,veteranperc,traveltime,houses,houseown,housemulti,households,pphousehold,income,poverty,retailsales,landarea,density
6037,Dem,CA,71.40718653,23.38869382,10116705,9818664,3,6.4,22.8,12.2,50.7,71.3,9.2,1.5,14.8,0.4,2.9,0.484,26.8,86.4,35.1,56.8,76.6,29.7,3.278162208,29.3,3482516,46.9,42.2,3230383,3.01,27749,17.8,12236,4057.88,2419.6
6039,Rep,CA,38.76776698,56.0984152,154548,150865,2.4,7.5,27.6,12.8,51.9,86,4.3,4.5,2.5,0.3,2.4,0.561,35.8,87.4,21.5,44.1,68.5,13.6,5.348500142,25.5,49891,60.8,10.6,42516,3.37,17847,22.8,6956,2137.07,70.6
6041,Dem,CA,78.89462634,16.13119219,260750,252409,3.3,4.8,20.5,19.4,51.2,86,2.9,1.1,6.1,0.3,3.7,0.16,72.2,85,19,23,92.4,54.6,5.920997124,28.6,112295,62.8,26.9,102912,2.39,56791,7.7,18648,520.31,485.1
6043,Rep,CA,35.16953926,58.40937254,17682,18250,-3.1,4.4,16.7,24.5,49.2,90.1,1.1,3.4,1.4,0.2,3.8,0.103,81.4,87.4,4.7,8.6,87.7,21.3,12.17622441,32,10329,71.6,5.9,7238,2.36,26988,16.1,4705,1448.82,12.6
6045,Dem,CA,60.38478356,31.22868387,87869,87840,0,6.2,21.9,18.9,50.2,86.3,1,6.3,2.2,0.3,4,0.241,66.2,84.2,12.5,21.2,85.2,22,7.73651686,18.6,40718,58.2,12.5,33878,2.52,23306,20,14716,3506.34,25.1
6047,Dem,CA,51.39806693,43.47294405,266353,255798,4.1,8.1,30,10.5,49.5,82,4.2,2.5,8.1,0.4,3,0.575,29.5,82.2,25.6,52.5,66.7,12.6,4.16815279,26.3,84167,53.6,17.3,75409,3.36,18177,25.4,8233,1934.97,132.2
6049,Rep,CA,23.75707056,71.83685621,9023,9686,-6.8,4.7,20.1,23.2,49.5,88.9,1.2,5.1,1.2,0.3,3.2,0.148,77.6,84.7,7.1,12.8,84.8,18.7,11.03845728,16.9,5238,68.8,4.8,3983,2.23,21200,21,5827,3917.77,2.5
6051,Dem,CA,52.3088863,40.35700427,13997,14202,-1.4,5,19.5,11.8,46.7,91.6,0.8,2.9,1.8,0.3,2.7,0.279,65.8,75.1,17,22.4,83.8,29.8,6.072729871,16.2,14002,55.6,45.3,5268,2.65,28046,8.5,12032,3048.98,4.7
6053,Dem,CA,66.95870744,27.2849518,431344,415057,3.9,7.7,26.4,12,49,82.6,3.5,2.7,6.9,0.6,3.7,0.574,31.2,84.1,29.9,52.6,71,23,5.001112801,22.5,140144,49.7,26.5,125428,3.2,24775,17,11293,3280.6,126.5
6055,Dem,CA,64.76617236,29.57443121,141667,136530,3.8,5.4,21.8,16.8,50.3,84.8,2.4,1.2,8.1,0.4,3.2,0.337,53.7,86,22.4,35,83.1,31.3,6.642337312,23.6,55317,60.6,19.7,49431,2.69,34795,10.1,12619,748.36,182.4
